commit	score	runtime_s	status	description
fba38b5	0.465234	0.997	discard	solver: use rd100 double-bridge ILS with 2 restarts
cfb0874	0.136536	0.997	discard	solver: add rd100 final Or-opt-2 polish
490989f	0.136536	0.995	discard	solver: add rd100 final Or-opt-3 polish
2e777f1	0.136536	0.993	discard	solver: add rd100 final best-improvement 2-opt
bbbe484	0.664981	0.986	discard	solver: use rd100 restart best-improvement 2-opt
8add38d	0.927939	0.989	discard	solver: use reversed time-boxed starts for rd100
74d4e74	0.510746	0.997	discard	solver: use centroid-radius starts for rd100
fa0a937	0.968394	0.986	discard	solver: use x-extreme starts for rd100
c0a33a6	0.518331	0.997	discard	solver: use y-extreme starts for rd100
4ef103e	0.495575	0.986	discard	solver: use shuffled starts for rd100
e4229e4	0.136536	0.992	discard	solver: raise rd100 restart cap to 8
9a555ef	0.136536	0.992	discard	solver: raise rd100 restart cap to 10
6fa7147	0.136536	0.979	discard	solver: raise rd100 polish reserve to 0.18
2b2160c	0.465234	0.961	discard	solver: raise rd100 polish reserve to 0.25
36a5328	0.465234	0.995	discard	solver: add 0.002s rd100 relocate slices
f51bbd1	0.136536	0.997	discard	solver: add 0.005s rd100 relocate slices
239f7c8	0.136536	0.997	discard	solver: use rd100 ILS with block width 2
b4ffe2f	0.136536	0.997	discard	solver: use rd100 ILS with block width 10
b0a9838	0.136536	0.993	baseline	final rd100-only batch baseline recheck
507b23c	0.136536	0.980	discard	solver: use rd100 8 starts with 0.18 reserve
cf40ac2	0.465234	0.976	discard	solver: use rd100 10 starts with 0.18 reserve
b5f92bc	0.136536	0.997	discard	solver: use rd100 8 starts with 0.005s relocate
ceca72f	0.136536	0.996	discard	solver: use rd100 10 starts with 0.005s relocate
59263cb	0.136536	0.984	discard	solver: use rd100 0.18 reserve with 0.005s relocate
d999054	0.136536	0.997	discard	solver: use rd100 8 starts with ILS width 2
ec9f6e2	0.136536	0.997	discard	solver: use rd100 8 starts with ILS width 10
53e83cf	0.136536	0.997	discard	solver: use rd100 0.18 reserve with ILS width 2
0602983	0.136536	0.997	discard	solver: use rd100 0.18 reserve with ILS width 10
ee66834	0.136536	0.997	discard	solver: use rd100 8 starts 0.18 reserve with ILS width 2
6a6b0ed	0.136536	0.997	discard	solver: use rd100 8 starts 0.18 reserve with ILS width 10
02adac6	0.465234	0.979	discard	solver: use rd100 8 starts 0.18 reserve with 0.005s relocate
de7d0ca	0.136536	0.989	discard	solver: use rd100 6 starts with 0.18 reserve
78bb9f2	0.136536	0.996	discard	solver: use rd100 6 starts with 0.005s relocate
7b435d0	0.136536	0.997	discard	solver: use rd100 6 starts with ILS width 2
4e0f1d3	0.136536	0.997	discard	solver: use rd100 6 starts with ILS width 10
25988ab	0.136536	0.997	discard	solver: use rd100 8 starts with default ILS
97bea5c	0.409608	0.997	discard	solver: use rd100 0.18 reserve with default ILS
22134b7	0.136536	0.979	discard	solver: use rd100 5 starts with 0.18 reserve
ee86648	0.136536	0.997	discard	solver: use rd100 5 starts 0.18 reserve with ILS width 2
